HSCode,Commodity,value,country,year
1,LIVE ANIMALS.,2.14,U S A,2010
2,MEAT AND EDIBLE MEAT OFFAL.,0.02,U S A,2010
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.59,U S A,2010
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2.95,U S A,2010
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",3.65,U S A,2010
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.22,U S A,2010
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,92.44,U S A,2010
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,322.92,U S A,2010
9,"COFFEE, TEA, MATE AND SPICES.",1.52,U S A,2010
10,CEREALS.,0.05,U S A,2010
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.66,U S A,2010
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",7.84,U S A,2010
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",9.07,U S A,2010
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0,U S A,2010
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,100.33,U S A,2010
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0,U S A,2010
17,SUGARS AND SUGAR CONFECTIONERY.,9.26,U S A,2010
18,COCOA AND COCOA PREPARATIONS.,0.7,U S A,2010
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.35,U S A,2010
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",10.65,U S A,2010
21,MISCELLANEOUS EDIBLE PREPARATIONS.,27.44,U S A,2010
22,"BEVERAGES, SPIRITS AND VINEGAR.",48.13,U S A,2010
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,12.58,U S A,2010
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.79,U S A,2010
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",16.2,U S A,2010
26,"ORES, SLAG AND ASH.",60.69,U S A,2010
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1132.82,U S A,2010
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",350.36,U S A,2010
29,ORGANIC CHEMICALS,737.46,U S A,2010
30,PHARMACEUTICAL PRODUCTS,152.65,U S A,2010
31,FERTILISERS.,901.76,U S A,2010
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",111.27,U S A,2010
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",41.64,U S A,2010
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",70.74,U S A,2010
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,39.09,U S A,2010
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2.58,U S A,2010
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,78.25,U S A,2010
38,MISCELLANEOUS CHEMICAL PRODUCTS.,706.57,U S A,2010
39,PLASTIC AND ARTICLES THEREOF.,816.91,U S A,2010
40,RUBBER AND ARTICLES THEREOF.,210.29,U S A,2010
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,8.51,U S A,2010
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",4.65,U S A,2010
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.02,U S A,2010
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,13.78,U S A,2010
45,CORK AND ARTICLES OF CORK.,0.12,U S A,2010
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.04,U S A,2010
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,307.13,U S A,2010
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",247.89,U S A,2010
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",63.63,U S A,2010
50,SILK,0.79,U S A,2010
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",8.76,U S A,2010
52,COTTON.,57.69,U S A,2010
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.23,U S A,2010
54,MAN-MADE FILAMENTS.,14.03,U S A,2010
55,MAN-MADE STAPLE FIBRES.,20.47,U S A,2010
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",9.65,U S A,2010
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,11.73,U S A,2010
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,2,U S A,2010
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",13.65,U S A,2010
60,KNITTED OR CROCHETED FABRICS.,1.76,U S A,2010
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2.76,U S A,2010
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",1.83,U S A,2010
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,36.2,U S A,2010
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",5.71,U S A,2010
65,HEADGEAR AND PARTS THEREOF.,0.7,U S A,2010
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.02,U S A,2010
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.18,U S A,2010
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",20.66,U S A,2010
69,CERAMIC PRODUCTS.,15.17,U S A,2010
70,GLASS AND GLASSWARE.,50.18,U S A,2010
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2792.03,U S A,2010
72,IRON AND STEEL,596.72,U S A,2010
73,ARTICLES OF IRON OR STEEL,201.72,U S A,2010
74,COPPER AND ARTICLES THEREOF.,58.18,U S A,2010
75,NICKEL AND ARTICLES THEREOF.,26.59,U S A,2010
76,ALUMINIUM AND ARTICLES THEREOF.,86.72,U S A,2010
78,LEAD AND ARTICLES THEREOF.,9.04,U S A,2010
79,ZINC AND ARTICLES THEREOF.,4.76,U S A,2010
80,TIN AND ARTICLES THEREOF.,0.9,U S A,2010
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,15.43,U S A,2010
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",58.95,U S A,2010
83,MISCELLANEOUS ARTICLES OF BASE METAL.,26.4,U S A,2010
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2563.53,U S A,2010
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",1261.85,U S A,2010
